variable,sort_type,modes,chi2
11.00,hist,90,178.00
11.00,hist,91,182.03
11.00,hist,92,186.13
11.00,hist,93,190.30
11.00,hist,94,194.53
11.00,hist,95,198.83
11.00,hist,96,203.20
11.00,hist,97,207.63
11.00,hist,98,212.13
11.00,hist,99,210.15
11.00,hist,100,208.20
11.00,hist,1787,14889.74
11.50,hist,1,0.00
11.50,hist,2,0.00
11.50,hist,3,0.00
11.50,hist,4,0.00
11.50,hist,5,0.00
11.50,hist,6,0.00
11.50,hist,7,0.00
11.50,hist,8,0.00
11.50,hist,9,0.00
11.50,hist,10,0.00
11.50,hist,11,0.00
11.50,hist,12,0.00
11.50,hist,13,0.00
11.50,hist,14,0.00
11.50,hist,15,0.00
11.50,hist,16,0.00
11.50,hist,17,0.00
11.50,hist,18,0.00
11.50,hist,19,0.00
11.50,hist,20,0.00
11.50,hist,21,0.00
11.50,hist,22,0.00
11.50,hist,23,0.00
11.50,hist,24,0.00
11.50,hist,25,0.00
11.50,hist,26,0.00
11.50,hist,27,0.00
11.50,hist,28,0.00
11.50,hist,29,0.00
11.50,hist,30,0.00
11.50,hist,31,0.03
11.50,hist,32,0.13
11.50,hist,33,0.30
11.50,hist,34,0.53
11.50,hist,35,0.83
11.50,hist,36,1.20
11.50,hist,37,1.63
11.50,hist,38,2.13
11.50,hist,39,2.70
11.50,hist,40,3.33
11.50,hist,41,4.03
11.50,hist,42,4.80
11.50,hist,43,5.63
11.50,hist,44,6.53
11.50,hist,45,7.50
11.50,hist,46,8.53
11.50,hist,47,9.63
11.50,hist,48,10.80
11.50,hist,49,12.03
11.50,hist,50,13.33
11.50,hist,51,14.70
11.50,hist,52,16.13
11.50,hist,53,17.63
11.50,hist,54,19.20
11.50,hist,55,20.83
11.50,hist,56,22.53
11.50,hist,57,24.30
11.50,hist,58,26.13
11.50,hist,59,28.03
11.50,hist,60,30.00
11.50,hist,61,32.03
11.50,hist,62,34.13
11.50,hist,63,36.30
11.50,hist,64,38.53
11.50,hist,65,40.83
11.50,hist,66,43.20
11.50,hist,67,45.63
11.50,hist,68,48.13
11.50,hist,69,50.70
11.50,hist,70,53.33
11.50,hist,71,56.03
11.50,hist,72,58.80
11.50,hist,73,61.63
11.50,hist,74,64.53
11.50,hist,75,67.50
11.50,hist,76,70.53
11.50,hist,77,73.63
11.50,hist,78,76.80
11.50,hist,79,80.03
11.50,hist,80,83.33
11.50,hist,81,86.70
11.50,hist,82,90.13
11.50,hist,83,93.63
11.50,hist,84,97.20
11.50,hist,85,100.83
11.50,hist,86,104.53
11.50,hist,87,108.30
11.50,hist,88,112.13
11.50,hist,89,174.03
11.50,hist,90,178.00
11.50,hist,91,182.03
11.50,hist,92,186.13
11.50,hist,93,190.30
11.50,hist,94,194.53
11.50,hist,95,198.83
11.50,hist,96,203.20
11.50,hist,97,207.63
11.50,hist,98,212.13
11.50,hist,99,216.70
11.50,hist,100,221.33
11.50,hist,1787,17398.38
12.00,hist,1,0.00
12.00,hist,2,0.00
12.00,hist,3,0.00
12.00,hist,4,0.00
12.00,hist,5,0.00
12.00,hist,6,0.00
12.00,hist,7,0.00
12.00,hist,8,0.00
12.00,hist,9,0.00
12.00,hist,10,0.00
12.00,hist,11,0.00
12.00,hist,12,0.00
12.00,hist,13,0.00
12.00,hist,14,0.00
12.00,hist,15,0.00
12.00,hist,16,0.00
12.00,hist,17,0.00
12.00,hist,18,0.00
12.00,hist,19,0.00
12.00,hist,20,0.00
12.00,hist,21,0.00
12.00,hist,22,0.00
12.00,hist,23,0.00
12.00,hist,24,0.00
12.00,hist,25,0.00
12.00,hist,26,0.00
12.00,hist,27,0.00
12.00,hist,28,0.00
12.00,hist,29,0.00
12.00,hist,30,0.00
12.00,hist,31,0.03
12.00,hist,32,0.13
12.00,hist,33,0.30
12.00,hist,34,0.53
12.00,hist,35,0.83
12.00,hist,36,1.20
12.00,hist,37,1.63
12.00,hist,38,2.13
12.00,hist,39,2.70
12.00,hist,40,3.33
12.00,hist,41,4.03
12.00,hist,42,4.80
12.00,hist,43,5.63
12.00,hist,44,6.53
12.00,hist,45,7.50
12.00,hist,46,8.53
12.00,hist,47,9.63
12.00,hist,48,10.80
12.00,hist,49,12.03
12.00,hist,50,13.33
12.00,hist,51,14.70
12.00,hist,52,16.13
12.00,hist,53,17.63
12.00,hist,54,19.20
12.00,hist,55,20.83
12.00,hist,56,22.53
12.00,hist,57,24.30
12.00,hist,58,26.13
