form_idx,mode,eigval
0,712,147.69
0,713,148.14
0,714,148.24
0,715,148.61
0,716,148.67
0,717,148.75
0,718,148.91
0,719,149.06
0,720,149.38
0,721,149.52
0,722,149.71
0,723,150.06
0,724,150.26
0,725,150.43
0,726,150.86
0,727,150.96
0,728,151.11
0,729,151.59
0,730,151.73
0,731,151.82
0,732,152.08
0,733,152.40
0,734,152.54
0,735,152.77
0,736,153.00
0,737,153.33
0,738,153.48
0,739,153.66
0,740,154.01
0,741,154.34
0,742,154.44
0,743,154.68
0,744,154.85
0,745,155.36
0,746,155.56
0,747,155.56
0,748,155.88
0,749,156.11
0,750,156.22
0,751,156.68
0,752,156.77
0,753,157.30
0,754,157.33
0,755,157.48
0,756,157.60
0,757,157.83
0,758,158.05
0,759,158.24
0,760,158.58
0,761,158.86
0,762,159.01
0,763,159.42
0,764,159.58
0,765,159.71
0,766,160.02
0,767,160.24
0,768,160.43
0,769,160.69
0,770,160.85
0,771,160.89
0,772,161.07
0,773,161.79
0,774,162.17
0,775,162.56
0,776,162.71
0,777,162.89
0,778,162.90
0,779,163.30
0,780,163.35
0,781,163.66
0,782,163.77
0,783,164.00
0,784,164.42
0,785,164.48
0,786,164.57
0,787,164.83
0,788,164.95
0,789,165.58
0,790,165.79
0,791,165.93
0,792,166.11
0,793,166.29
0,794,166.71
0,795,166.96
0,796,167.24
0,797,167.65
0,798,168.05
0,799,168.31
0,800,168.44
0,801,168.58
0,802,169.14
0,803,169.33
0,804,169.48
0,805,169.72
0,806,170.00
0,807,170.22
0,808,170.32
0,809,170.70
0,810,170.77
0,811,170.88
0,812,171.43
0,813,171.72
0,814,172.02
0,815,172.19
0,816,172.40
0,817,172.66
0,818,172.91
0,819,173.20
0,820,173.23
0,821,173.71
0,822,174.05
0,823,174.15
0,824,174.26
0,825,174.56
0,826,174.87
0,827,175.46
0,828,175.54
0,829,175.65
0,830,175.98
0,831,176.23
0,832,176.51
0,833,176.68
0,834,176.82
0,835,177.02
0,836,177.34
0,837,177.56
0,838,177.76
0,839,178.20
