frame_number,rmsd
1330,1.317253e+00
1331,1.300060e+00
1332,1.345409e+00
1333,1.316193e+00
1334,1.274828e+00
1335,1.287440e+00
1336,1.332241e+00
1337,1.341033e+00
1338,1.347005e+00
1339,1.425990e+00
1340,1.349619e+00
1341,1.354120e+00
1342,1.420452e+00
1343,1.380292e+00
1344,1.310218e+00
1345,1.323206e+00
1346,1.320740e+00
1347,1.325827e+00
1348,1.347524e+00
1349,1.358885e+00
1350,1.297229e+00
1351,1.322569e+00
1352,1.456158e+00
1353,1.370575e+00
1354,1.351440e+00
1355,1.278557e+00
1356,1.289659e+00
1357,1.343319e+00
1358,1.445481e+00
