variable,sort_type,modes,chi2
10.50,hist,76,45.81
10.50,hist,77,45.67
10.50,hist,78,45.59
10.50,hist,79,45.56
10.50,hist,80,45.59
10.50,hist,81,45.67
10.50,hist,82,45.81
10.50,hist,83,46.01
10.50,hist,84,46.26
10.50,hist,85,46.56
10.50,hist,86,46.92
10.50,hist,87,47.34
10.50,hist,88,47.81
10.50,hist,89,48.34
10.50,hist,90,48.92
10.50,hist,91,49.56
10.50,hist,92,50.26
10.50,hist,93,51.01
10.50,hist,94,51.81
10.50,hist,95,52.67
10.50,hist,96,53.59
10.50,hist,97,54.56
10.50,hist,98,55.59
10.50,hist,99,56.67
10.50,hist,100,57.81
10.50,hist,1253,6102.26
11.00,hist,1,0.00
11.00,hist,2,0.00
11.00,hist,3,0.00
11.00,hist,4,0.00
11.00,hist,5,0.00
11.00,hist,6,0.00
11.00,hist,7,0.00
11.00,hist,8,0.00
11.00,hist,9,0.00
11.00,hist,10,0.00
11.00,hist,11,0.00
11.00,hist,12,0.00
11.00,hist,13,0.00
11.00,hist,14,0.00
11.00,hist,15,0.00
11.00,hist,16,0.00
11.00,hist,17,0.06
11.00,hist,18,0.25
11.00,hist,19,0.56
11.00,hist,20,1.00
11.00,hist,21,1.56
11.00,hist,22,2.25
11.00,hist,23,3.06
11.00,hist,24,4.00
11.00,hist,25,5.06
11.00,hist,26,6.25
11.00,hist,27,7.56
11.00,hist,28,9.00
11.00,hist,29,10.56
11.00,hist,30,12.25
11.00,hist,31,14.06
11.00,hist,32,16.00
11.00,hist,33,18.06
11.00,hist,34,20.25
11.00,hist,35,22.56
11.00,hist,36,25.00
11.00,hist,37,27.56
11.00,hist,38,30.25
11.00,hist,39,33.06
11.00,hist,40,36.00
11.00,hist,41,39.06
11.00,hist,42,42.25
11.00,hist,43,45.56
11.00,hist,44,49.00
11.00,hist,45,52.56
11.00,hist,46,56.25
11.00,hist,47,56.25
11.00,hist,48,56.25
11.00,hist,49,56.25
11.00,hist,50,56.25
11.00,hist,51,56.25
11.00,hist,52,56.25
11.00,hist,53,79.61
11.00,hist,54,78.03
11.00,hist,55,76.50
11.00,hist,56,75.03
11.00,hist,57,73.61
11.00,hist,58,72.25
11.00,hist,59,70.94
11.00,hist,60,69.69
11.00,hist,61,68.50
11.00,hist,62,67.36
11.00,hist,63,66.28
11.00,hist,64,65.25
11.00,hist,65,64.28
11.00,hist,66,63.36
11.00,hist,67,62.50
11.00,hist,68,61.69
11.00,hist,69,60.94
11.00,hist,70,60.25
11.00,hist,71,59.61
11.00,hist,72,59.03
11.00,hist,73,58.50
11.00,hist,74,58.03
11.00,hist,75,57.61
11.00,hist,76,57.25
11.00,hist,77,56.94
11.00,hist,78,56.69
11.00,hist,79,56.50
11.00,hist,80,56.36
11.00,hist,81,56.28
11.00,hist,82,56.25
11.00,hist,83,56.28
11.00,hist,84,56.36
11.00,hist,85,56.50
11.00,hist,86,56.69
11.00,hist,87,56.94
11.00,hist,88,57.25
11.00,hist,89,57.61
11.00,hist,90,58.03
11.00,hist,91,58.50
11.00,hist,92,59.03
11.00,hist,93,59.61
11.00,hist,94,60.25
11.00,hist,95,60.94
11.00,hist,96,61.69
11.00,hist,97,62.50
11.00,hist,98,63.36
11.00,hist,99,64.28
11.00,hist,100,65.25
11.00,hist,1253,7330.69
11.50,hist,1,0.00
11.50,hist,2,0.00
11.50,hist,3,0.00
11.50,hist,4,0.00
11.50,hist,5,0.00
11.50,hist,6,0.00
11.50,hist,7,0.00
11.50,hist,8,0.00
11.50,hist,9,0.00
11.50,hist,10,0.00
11.50,hist,11,0.00
11.50,hist,12,0.00
11.50,hist,13,0.00
11.50,hist,14,0.00
11.50,hist,15,0.00
11.50,hist,16,0.00
11.50,hist,17,0.06
11.50,hist,18,0.25
11.50,hist,19,0.56
11.50,hist,20,1.00
11.50,hist,21,1.56
11.50,hist,22,2.25
11.50,hist,23,3.06
11.50,hist,24,4.00
11.50,hist,25,5.06
11.50,hist,26,6.25
11.50,hist,27,7.56
11.50,hist,28,9.00
11.50,hist,29,10.56
11.50,hist,30,12.25
11.50,hist,31,14.06
11.50,hist,32,16.00
11.50,hist,33,18.06
11.50,hist,34,20.25
11.50,hist,35,22.56
11.50,hist,36,25.00
11.50,hist,37,27.56
11.50,hist,38,30.25
11.50,hist,39,33.06
11.50,hist,40,36.00
11.50,hist,41,39.06
11.50,hist,42,42.25
11.50,hist,43,45.56
11.50,hist,44,49.00
11.50,hist,45,52.56
11.50,hist,46,56.25
11.50,hist,47,60.06
11.50,hist,48,64.00
11.50,hist,49,68.06
11.50,hist,50,72.25
11.50,hist,51,76.56
11.50,hist,52,81.00
11.50,hist,53,121.56
11.50,hist,54,126.25
11.50,hist,55,124.28
11.50,hist,56,122.36
11.50,hist,57,120.50
11.50,hist,58,118.69
11.50,hist,59,116.94
11.50,hist,60,115.25
11.50,hist,61,113.61
11.50,hist,62,112.03
11.50,hist,63,110.50
11.50,hist,64,109.03
11.50,hist,65,107.61
11.50,hist,66,106.25
11.50,hist,67,104.94
11.50,hist,68,103.69
11.50,hist,69,102.50
11.50,hist,70,101.36
11.50,hist,71,100.28
11.50,hist,72,99.25
11.50,hist,73,98.28
11.50,hist,74,97.36
11.50,hist,75,96.50
11.50,hist,76,95.69
11.50,hist,77,94.94
11.50,hist,78,94.25
11.50,hist,79,93.61
11.50,hist,80,93.03
11.50,hist,81,92.50
11.50,hist,82,92.03
11.50,hist,83,91.61
11.50,hist,84,91.25
11.50,hist,85,90.94
11.50,hist,86,90.69
11.50,hist,87,90.50
11.50,hist,88,90.36
11.50,hist,89,90.28
11.50,hist,90,90.25
11.50,hist,91,90.28
11.50,hist,92,90.36
11.50,hist,93,90.50
11.50,hist,94,90.69
11.50,hist,95,90.94
11.50,hist,96,91.25
11.50,hist,97,91.61
11.50,hist,98,92.03
11.50,hist,99,92.50
11.50,hist,100,93.03
11.50,hist,1253,9427.19
12.00,hist,1,0.00
12.00,hist,2,0.00
12.00,hist,3,0.00
12.00,hist,4,0.00
12.00,hist,5,0.00
12.00,hist,6,0.00
12.00,hist,7,0.00
12.00,hist,8,0.00
12.00,hist,9,0.00
12.00,hist,10,0.00
12.00,hist,11,0.00
12.00,hist,12,0.00
12.00,hist,13,0.00
12.00,hist,14,0.00
12.00,hist,15,0.00
12.00,hist,16,0.00
12.00,hist,17,0.06
12.00,hist,18,0.25
12.00,hist,19,0.56
12.00,hist,20,1.00
12.00,hist,21,1.56
12.00,hist,22,2.25
12.00,hist,23,3.06
12.00,hist,24,4.00
12.00,hist,25,5.06
12.00,hist,26,6.25
12.00,hist,27,7.56
12.00,hist,28,9.00
12.00,hist,29,10.56
12.00,hist,30,12.25
12.00,hist,31,14.06
12.00,hist,32,16.00
12.00,hist,33,18.06
12.00,hist,34,20.25
12.00,hist,35,22.56
12.00,hist,36,25.00
12.00,hist,37,27.56
12.00,hist,38,30.25
12.00,hist,39,33.06
12.00,hist,40,36.00
12.00,hist,41,39.06
12.00,hist,42,42.25
12.00,hist,43,45.56
12.00,hist,44,49.00
12.00,hist,45,52.56
12.00,hist,46,56.25
12.00,hist,47,60.06
12.00,hist,48,64.00
12.00,hist,49,68.06
12.00,hist,50,72.25
12.00,hist,51,76.56
12.00,hist,52,81.00
12.00,hist,53,121.56
12.00,hist,54,126.25
12.00,hist,55,131.06
12.00,hist,56,136.00
12.00,hist,57,141.06
