variable,sort_type,modes,chi2
12.00,hist,39,0.00
12.00,hist,40,0.00
12.00,hist,41,0.00
12.00,hist,42,0.00
12.00,hist,43,0.02
12.00,hist,44,0.10
12.00,hist,45,0.21
12.00,hist,46,0.38
12.00,hist,47,0.60
12.00,hist,48,0.86
12.00,hist,49,1.17
12.00,hist,50,1.52
12.00,hist,51,1.93
12.00,hist,52,2.38
12.00,hist,53,2.88
12.00,hist,54,3.43
12.00,hist,55,4.02
12.00,hist,56,4.67
12.00,hist,57,5.36
12.00,hist,58,6.10
12.00,hist,59,6.88
12.00,hist,60,7.71
12.00,hist,61,8.60
12.00,hist,62,9.52
12.00,hist,63,10.50
12.00,hist,64,11.52
12.00,hist,65,12.60
12.00,hist,66,13.71
12.00,hist,67,14.88
12.00,hist,68,16.10
12.00,hist,69,17.36
12.00,hist,70,18.67
12.00,hist,71,20.02
12.00,hist,72,21.43
12.00,hist,73,22.88
12.00,hist,74,24.38
12.00,hist,75,25.93
12.00,hist,76,27.52
12.00,hist,77,29.17
12.00,hist,78,30.86
12.00,hist,79,32.60
12.00,hist,80,34.38
12.00,hist,81,36.21
12.00,hist,82,38.10
12.00,hist,83,40.02
12.00,hist,84,42.00
12.00,hist,85,44.02
12.00,hist,86,46.10
12.00,hist,87,48.21
12.00,hist,88,50.38
12.00,hist,89,52.60
12.00,hist,90,54.86
12.00,hist,91,57.17
12.00,hist,92,59.52
12.00,hist,93,61.93
12.00,hist,94,64.38
12.00,hist,95,66.88
12.00,hist,96,69.43
12.00,hist,97,72.02
12.00,hist,98,74.67
12.00,hist,99,77.36
12.00,hist,100,80.10
12.00,hist,1176,7437.17
12.50,hist,1,0.00
12.50,hist,2,0.00
12.50,hist,3,0.00
12.50,hist,4,0.00
12.50,hist,5,0.00
12.50,hist,6,0.00
12.50,hist,7,0.00
12.50,hist,8,0.00
12.50,hist,9,0.00
12.50,hist,10,0.00
12.50,hist,11,0.00
12.50,hist,12,0.00
12.50,hist,13,0.00
12.50,hist,14,0.00
12.50,hist,15,0.00
12.50,hist,16,0.00
12.50,hist,17,0.00
12.50,hist,18,0.00
12.50,hist,19,0.00
12.50,hist,20,0.00
12.50,hist,21,0.00
12.50,hist,22,0.00
12.50,hist,23,0.00
12.50,hist,24,0.00
